Model,avg_mae,std_mae,avg_rmse,std_rmse,avg_mse,std_mse,avg_r2,std_r2,avg_r2_train,std_r2_train,avg_train_test_r2_diff,std_train_test_r2_diff
Ridge_Regression,0.29979912082957255,0.1082507484189319,0.4294129896107799,0.13114464154081878,0.20159443265133764,0.10794248594221985,0.9028031028604346,0.06601362492695496,0.992543299089167,0.007458543228810476,0.08974019622873247,0.05976752681055765
XGBoost,0.5392607240602253,0.2653998141601698,0.8270653452289056,0.45965035606921295,0.8953155351131632,0.9350313796786333,0.6573225477049958,0.256436655366934,0.9999538639901803,2.5631487115973062e-05,0.3426313162851845,0.25642630320097115
Linear_Regression,0.3965195700899227,0.33611646333421774,0.5654193350649022,0.5139561709446142,0.5838499701172856,0.8020402822036938,0.555716878534513,0.7143827638670063,1.0,0.0,0.44428312146548704,0.7143827638670063
Decision_Tree,0.871083833700391,0.2691202082989733,1.1491177573872124,0.2998451548920716,1.410378737254867,0.7367716987447382,0.4618972681913145,0.3316375784976622,0.9376052843356538,0.030631843046030574,0.47570801614433933,0.3216138409960036
Random_Forest,0.7209490003760968,0.3131441333841995,1.201206026441521,0.7498205901846047,2.0051268354242167,2.4457611446784027,0.3706311446296787,0.5529686601569828,0.9413228490026966,0.03842104117658998,0.570691704373018,0.5190735690187248
KNN,0.8558454372779423,0.3977098842538167,1.3351750409300318,0.7378681748148229,2.32714183332707,2.435729922161015,0.33865408628831306,0.5624975944445006,0.7142761851325723,0.13058046449594415,0.3756220988442593,0.4525564224562052
Lasso_Regression,1.0067650720774228,0.11242256037597319,1.3418769132619128,0.3138547897406478,1.8991384793884651,0.9504855386131623,0.2629215359624238,0.3513815895835788,0.2844329792496766,0.3377926033627864,0.021511443287252796,0.0219170314692114
Median_Baseline,1.4776528092475998,0.7040681049996637,1.9016934006479813,0.7887553021847921,4.2385727167927065,3.35025685791099,-0.03525881210120119,0.032947010071528345,-0.0060291401469640404,0.006511533696016003,0.029229671954237146,0.02950044833231502
Mean_Baseline,1.4772312575662336,0.6892911307618481,1.919537025765441,0.7926812036912144,4.312965883969786,3.3431811508709637,-0.05403129365732573,0.06515680915302588,0.0,0.0,0.05403129365732573,0.06515680915302588
