Model,mae,rmse,mse,r2,r2_train,train_test_r2_diff
Linear_Regression,0.08443337487005524,0.13387172448327816,0.017921638616126737,0.9892640575475243,1.0,0.010735942452475666
Ridge_Regression,0.23110656170066762,0.41847123377737416,0.17511817349915773,0.8950956063036646,0.9984857838452017,0.10339017754153712
XGBoost,0.36345879418722316,0.5319494234521266,0.2829701891110499,0.8304869475869971,0.9999297333626651,0.16944278577566796
KNN,0.4192411663009681,0.6260102958208075,0.3918888904736548,0.7652392916737104,0.7088729218525939,-0.056366369821116535
Random_Forest,0.5130870763228818,0.7504864974583693,0.5632299828673308,0.6625975552184543,0.9323742803708157,0.2697767251523614
Decision_Tree,0.6268800398929342,0.7803757969349479,0.6089863844418549,0.6351872215621102,0.8989497372772123,0.2637625157151021
Lasso_Regression,0.926442124692926,1.222179031751142,1.493721585652159,0.1051873477042512,0.1047982364610085,-0.0003891112432427013
Median_Baseline,0.9941052956045212,1.2938532519465353,1.674056237572625,-0.002841972977574825,-0.0008185476809867698,0.002023425296588055
Mean_Baseline,0.9911001025643692,1.2960334908314388,1.679702809356725,-0.006224547028215621,0.0,0.006224547028215621
