Model,mae,rmse,mse,r2,r2_train,train_test_r2_diff
Ridge_Regression,0.35316040556314926,0.4717681025567428,0.22256514258998938,0.8086095160045254,0.9810097946733704,0.172400278668845
XGBoost,0.5098243023594274,0.8206766250177737,0.6735101228505637,0.4208283162036405,0.9999677438616016,0.5791394276579611
Random_Forest,0.5536231404666241,0.8342871680683698,0.6960350788035403,0.40145842668882636,0.9635570911016923,0.5620986644128659
KNN,0.5266837351966484,0.870701533804267,0.7581211609691031,0.34806873063502786,0.7896262506901032,0.4415575200550753
Decision_Tree,0.6355891491872282,1.0888440149916445,1.1855812889831245,-0.01951713585479009,0.9166617228030108,0.9361788586578009
Mean_Baseline,0.9178094073032017,1.1036941065140329,1.2181406807538095,-0.047515939607583935,0.0,0.047515939607583935
Lasso_Regression,0.9178094073032017,1.1036941065140329,1.2181406807538095,-0.047515939607583935,0.0,0.047515939607583935
Median_Baseline,0.9225758997632412,1.1075480397253987,1.2266626602995736,-0.05484424704550106,-0.00043946420267415576,0.054404782842826904
Linear_Regression,0.8886486449998853,1.3978997467263787,1.9541237018976738,-0.6804099543216002,1.0,1.6804099543216002
