Model,mae,rmse,mse,r2,r2_train,train_test_r2_diff
Linear_Regression,0.5257018811424252,0.5851497227832964,0.3424001980733685,0.9161950678843549,1.0,0.0838049321156451
Ridge_Regression,0.44744561342833644,0.5958993280770477,0.355096009202677,0.9130876760200056,0.9909482013995065,0.07786052537950083
XGBoost,0.9801948666140613,1.574695816156327,2.4796669134202407,0.39308353640593974,0.9999289859058277,0.606845449499888
Decision_Tree,1.2834934849836197,1.616605522621934,2.6134134157717366,0.3603481098105662,0.9626969583703113,0.6023488485597451
Lasso_Regression,1.1959577565976773,1.8806237264755763,3.5367456005828832,0.13435586008731182,0.17327215373807836,0.03891629365076654
Median_Baseline,1.325567721755179,2.099883250907744,4.409509667442876,-0.07925947596603766,-0.01657138648729206,0.0626880894787456
Mean_Baseline,1.3657277739294473,2.1792327924399753,4.749055563645732,-0.16236579699488485,0.0,0.16236579699488485
Random_Forest,1.2625552746329765,2.4979666205462987,6.2398372373634965,-0.5272454251848031,0.883484247510913,1.4107296726957161
KNN,1.3810715476898432,2.5426527388630187,6.465082950447609,-0.5823759473064911,0.5060227712631271,1.0883987185696182
