city,year,month,pred_risk,p_low,p_mod,p_high,p_extreme,heat_stress_index_proj,temp_delta_c,urban_delta_pct,pop_delta_mult
Islamabad,2024,1,0,0.999122679233551,0.0008772182045504451,1.7121537609909865e-07,1.322738807374435e-08,-1.0201853506492706,0.0,0.0,1.0
Islamabad,2024,2,0,0.9977744221687317,0.002224496565759182,9.414583814759681e-07,7.30426208406243e-08,-0.6944094722126534,0.0,0.0,1.0
Islamabad,2024,3,0,0.9847123622894287,0.015264326706528664,2.170556763303466e-05,1.5883547348494176e-06,-0.13124623431997795,0.0,0.0,1.0
Islamabad,2024,4,1,0.16139528155326843,0.7120267152786255,0.12152884900569916,0.005049171857535839,0.5017193239008856,0.0,0.0,1.0
Islamabad,2024,5,3,1.6341122091034777e-06,0.0010859183967113495,0.1517561823129654,0.8471562266349792,1.0653312445894416,0.0,0.0,1.0
Islamabad,2024,6,3,3.539222745985171e-07,0.0003404324233997613,0.10335014015436172,0.8963090777397156,1.296901252835908,0.0,0.0,1.0
Karachi,2024,1,0,0.9975138902664185,0.002484936499968171,1.0752901289379224e-06,8.146692920263376e-08,-0.26007657908001397,0.0,0.0,1.0
Karachi,2024,2,0,0.900547206401825,0.09902217239141464,0.0004098427016288042,2.072742245218251e-05,0.08520070053860107,0.0,0.0,1.0
Karachi,2024,3,1,0.014806755818426609,0.5406317710876465,0.4363608956336975,0.0082005700096488,0.531554276532868,0.0,0.0,1.0
Karachi,2024,4,2,0.0003858759591821581,0.10604330152273178,0.7380074858665466,0.15556330978870392,0.8820202850832287,0.0,0.0,1.0
Karachi,2024,5,2,2.013485755014699e-05,0.015697505325078964,0.5197726488113403,0.46450966596603394,1.0048266041130873,0.0,0.0,1.0
Karachi,2024,6,2,1.138654988608323e-05,0.02134700119495392,0.7036871314048767,0.2749544084072113,1.06481029054879,0.0,0.0,1.0
Lahore,2024,1,0,0.9986979961395264,0.0013015939621254802,3.702219260048878e-07,2.9245780908127017e-08,-0.8149219024361152,0.0,0.0,1.0
Lahore,2024,2,0,0.9966341853141785,0.0033635664731264114,2.1266146177367773e-06,1.7647674610543618e-07,-0.4206677508601475,0.0,0.0,1.0
Lahore,2024,3,0,0.8679990172386169,0.13122940063476562,0.0007316055707633495,4.007621100754477e-05,0.1042425041721681,0.0,0.0,1.0
Lahore,2024,4,2,0.0008495344081893563,0.11123060435056686,0.674579918384552,0.21333998441696167,0.7931580328267342,0.0,0.0,1.0
Lahore,2024,5,3,3.034246560673637e-07,0.0002855879138223827,0.09613650292158127,0.9035776257514954,1.3646271873661944,0.0,0.0,1.0
Lahore,2024,6,3,2.3342390420566517e-07,0.00024781361571513116,0.0927724689245224,0.906979501247406,1.4506890561618129,0.0,0.0,1.0
Multan,2024,1,0,0.9985437393188477,0.001455780235119164,4.605487333719793e-07,3.5268399756205326e-08,-0.7960021441989259,0.0,0.0,1.0
Multan,2024,2,0,0.9958853125572205,0.004111373797059059,3.058746187889483e-06,2.507158853859437e-07,-0.37511683542252644,0.0,0.0,1.0
Multan,2024,3,0,0.8633285760879517,0.13544055819511414,0.0011499120155349374,8.095862722257152e-05,0.22197689082502864,0.0,0.0,1.0
Multan,2024,4,3,3.206675319233909e-05,0.010433321818709373,0.354899138212204,0.6346354484558105,0.8830075873256292,0.0,0.0,1.0
Multan,2024,5,3,2.2906283447809983e-07,0.000235869680182077,0.09055343270301819,0.9092105031013489,1.485923135425028,0.0,0.0,1.0
Multan,2024,6,3,1.698862348575858e-07,0.0001979006628971547,0.08625537157058716,0.913546621799469,1.6377666874163266,0.0,0.0,1.0
Peshawar,2024,1,0,0.9988407492637634,0.0011589815840125084,2.934788483344164e-07,2.2602574034635836e-08,-0.9814442021190107,0.0,0.0,1.0
Peshawar,2024,2,0,0.9976567029953003,0.002342166844755411,1.0351839137001662e-06,8.013188335098675e-08,-0.6661603333504315,0.0,0.0,1.0
Peshawar,2024,3,0,0.9787453413009644,0.021212536841630936,3.9351885789074004e-05,2.8381982701830566e-06,-0.1425608746012047,0.0,0.0,1.0
Peshawar,2024,4,1,0.07950305193662643,0.6634218692779541,0.24585366249084473,0.011221447959542274,0.5367686612103841,0.0,0.0,1.0
Peshawar,2024,5,3,1.0444749705129652e-06,0.0007502405787818134,0.13337066769599915,0.8658781051635742,1.127858510215627,0.0,0.0,1.0
Peshawar,2024,6,3,2.3856219399931433e-07,0.0002478125679772347,0.09240934252738953,0.9073425531387329,1.4725042043594516,0.0,0.0,1.0
Quetta,2024,1,0,0.9992923736572266,0.0007075074245221913,1.0593760890742487e-07,7.644175958887445e-09,-1.6021963991275479,0.0,0.0,1.0
Quetta,2024,2,0,0.9990430474281311,0.0009567676461301744,1.72432621070584e-07,1.1934282895254e-08,-1.297419935142323,0.0,0.0,1.0
Quetta,2024,3,0,0.9970036149024963,0.002995159476995468,1.1332815574860433e-06,7.333952822818901e-08,-0.6053522666767318,0.0,0.0,1.0
Quetta,2024,4,0,0.8359425067901611,0.16309495270252228,0.0009193656733259559,4.315848127589561e-05,-0.012573545693074067,0.0,0.0,1.0
Quetta,2024,5,2,0.0073853046633303165,0.44019895792007446,0.5322866439819336,0.020129086449742317,0.5657001530632548,0.0,0.0,1.0
Quetta,2024,6,3,5.801031875307672e-06,0.005344689358025789,0.34713611006736755,0.6475134491920471,1.0054671223808413,0.0,0.0,1.0
