city,year,month,pred_risk,p_low,p_mod,p_high,p_extreme,heat_stress_index_proj,temp_delta_c,urban_delta_pct,pop_delta_mult
Islamabad,2024,1,0,0.9999999747699464,2.275935757968791e-08,1.301543712634356e-09,1.1691523934348033e-09,-0.8494207170270558,1.0,2.0,1.05
Islamabad,2024,2,0,0.9999999717100468,2.66378149132483e-08,7.249535070152688e-10,9.271846403108913e-10,-0.5236448385904383,1.0,2.0,1.05
Islamabad,2024,3,0,0.9999531479489376,4.683036055331448e-05,9.588508168147966e-09,1.210200102177628e-08,0.03951839930223736,1.0,2.0,1.05
Islamabad,2024,4,1,9.14587264531075e-06,0.9999906888079562,7.333375153257633e-08,9.198564711133162e-08,0.672483957523101,1.0,2.0,1.05
Islamabad,2024,5,3,3.404558370889724e-09,3.84810765296355e-07,0.015003444239274414,0.9849961675454019,1.2360958782116573,1.0,2.0,1.05
Islamabad,2024,6,3,1.271612566171213e-09,2.083728847917746e-09,3.022288967560132e-05,0.999969773754983,1.467665886458124,1.0,2.0,1.05
Islamabad,2024,7,3,1.3736555032905891e-08,3.453113309997136e-07,0.04784835657439637,0.9521512843777177,1.2259560163688237,1.0,2.0,1.05
Islamabad,2024,8,2,7.42926446734594e-08,1.5587138825425695e-05,0.907307600528606,0.0926767380399239,1.1319245684888237,1.0,2.0,1.05
Islamabad,2024,9,2,2.173872205422784e-06,0.04804941386098702,0.9455422404042451,0.0064061718625623935,1.031025253525597,1.0,2.0,1.05
Islamabad,2024,10,1,3.90811188733596e-06,0.9999841678805697,1.0962292466801209e-05,9.617150762858176e-07,0.5573998830018414,1.0,2.0,1.05
Islamabad,2024,11,0,0.9999120767525094,8.784773861654297e-05,2.0386521596490765e-08,5.512235247409714e-08,-0.05277965319134095,1.0,2.0,1.05
Islamabad,2024,12,0,0.9999999293740499,6.707462802501768e-08,1.871370021845803e-09,1.6799520691919784e-09,-0.5762172688618283,1.0,2.0,1.05
Islamabad,2025,1,0,0.999999971818002,2.4942028794979e-08,1.6539570503713295e-09,1.5860118718002757e-09,-0.8357449846300262,1.0,2.0,1.05
Islamabad,2025,2,0,0.9999999717290365,2.4624524643040237e-08,1.8558297934725076e-09,1.7906090150672716e-09,-0.5099691061934087,1.0,2.0,1.05
Islamabad,2025,3,0,0.999952923637002,4.7054373057989035e-05,9.570813335649266e-09,1.2419126552838042e-08,0.05319413169926696,1.0,2.0,1.05
Islamabad,2025,4,1,3.5646866922659606e-05,0.9999639876428217,1.487759928629464e-07,2.167142627220229e-07,0.6861596899201307,1.0,2.0,1.05
Islamabad,2025,5,3,4.277660286436218e-09,3.8399250489241895e-07,0.01391721860540891,0.9860823931244259,1.249771610608687,1.0,2.0,1.05
Islamabad,2025,6,3,1.262638595668481e-09,2.0690236446865308e-09,3.0278963923748367e-05,0.9999697177044141,1.4813416188551538,1.0,2.0,1.05
Islamabad,2025,7,3,1.2443998036787398e-08,3.128188628624356e-07,0.04631787280117166,0.9536818019359674,1.2396317487658535,1.0,2.0,1.05
Islamabad,2025,8,2,7.074378809056666e-08,1.4850694765747302e-05,0.91170234551541,0.08828273304603622,1.1456003008858533,1.0,2.0,1.05
Islamabad,2025,9,2,2.229424660652959e-06,0.023722688404951696,0.96970520308773,0.006569879082657509,1.0447009859226264,1.0,2.0,1.05
Islamabad,2025,10,1,5.929111802925907e-06,0.9999764746281568,1.5724640720311084e-05,1.8716193201024075e-06,0.571075615398871,1.0,2.0,1.05
Islamabad,2025,11,0,0.9998988480584196,0.00010106979412698382,1.872857778185103e-08,6.341887570573035e-08,-0.03910392079431138,1.0,2.0,1.05
Islamabad,2025,12,0,0.9999999291679954,6.707462801119665e-08,1.907016065149453e-09,1.850360716032745e-09,-0.5625415364647988,1.0,2.0,1.05
Karachi,2024,1,0,0.9999997843878493,2.1163721170177225e-07,1.7107840761930716e-09,2.264155069677615e-09,-0.08931194545779893,1.0,2.0,1.05
Karachi,2024,2,0,0.9999983409846908,1.650529118807292e-06,1.639588053434562e-09,6.846602481186466e-09,0.25596533416081624,1.0,2.0,1.05
Karachi,2024,3,1,1.5238146558548218e-05,0.9999842994021768,2.2922350741997715e-07,2.332277571987601e-07,0.7023189101550835,1.0,2.0,1.05
Karachi,2024,4,2,1.4669355589830441e-08,0.0010091754328087922,0.9989824321313421,8.377766493421972e-06,1.0527849187054446,1.0,2.0,1.05
Karachi,2024,5,2,2.503191291756515e-08,5.354329411898057e-06,0.9518421946913531,0.04815242594732202,1.1755912377353042,1.0,2.0,1.05
Karachi,2024,6,3,1.5226516848656775e-08,1.894812643001814e-07,0.04692912561900393,0.953070669673215,1.2355749241710072,1.0,2.0,1.05
Karachi,2024,7,2,6.822928876703174e-08,9.393935057497061e-06,0.8231958379825705,0.17679469985308338,1.0696483129170393,1.0,2.0,1.05
Karachi,2024,8,2,2.3630039353061834e-09,0.00010649922420813868,0.999818533496255,7.49649165329721e-05,0.9698533624452744,1.0,2.0,1.05
Karachi,2024,9,2,3.37112266222484e-09,5.3076725470775425e-05,0.9999029256965933,4.399420681310323e-05,1.0368913917002474,1.0,2.0,1.05
Karachi,2024,10,2,2.254629522420317e-09,0.00013578480381705376,0.9998638015128499,4.1142870354480887e-07,1.030921439588572,1.0,2.0,1.05
Karachi,2024,11,1,1.8978282890741624e-05,0.9999449967212105,3.5151814881225915e-05,8.731810176045515e-07,0.61362872374252,1.0,2.0,1.05
Karachi,2024,12,0,0.9989178519014361,0.0010818557477109613,1.0100344075764654e-07,1.9134741212324198e-07,0.11198794756267587,1.0,2.0,1.05
Karachi,2025,1,0,0.9999995569504145,4.3170938065331696e-07,6.072878285445741e-09,5.267326482216307e-09,-0.07563621306076936,1.0,2.0,1.05
Karachi,2025,2,0,0.9999995459321739,4.4775532029399513e-07,1.5808937181066755e-09,4.731611954452184e-09,0.26964106655784587,1.0,2.0,1.05
Karachi,2025,3,1,8.179312691890133e-05,0.9999174603887037,4.263191460341912e-07,3.201652313459336e-07,0.7159946425521131,1.0,2.0,1.05
Karachi,2025,4,2,1.4443577138102263e-08,0.0009927155512156353,0.9989998063975439,7.463607663214415e-06,1.0664606511024743,1.0,2.0,1.05
Karachi,2025,5,2,2.0843596592304314e-08,3.49118142630187e-06,0.95583609853016,0.04416038944481701,1.189266970132334,1.0,2.0,1.05
Karachi,2025,6,3,1.636217186252749e-08,1.3172227676980656e-07,0.04375233636186567,0.9562475155536857,1.249250656568037,1.0,2.0,1.05
Karachi,2025,7,2,1.5267748199773568e-08,2.020909022478295e-06,0.9604364058883663,0.03956155793486291,1.083324045314069,1.0,2.0,1.05
Karachi,2025,8,2,2.363011675171068e-09,0.00010597105480093689,0.9998218083364881,7.221824569926399e-05,0.983529094842304,1.0,2.0,1.05
Karachi,2025,9,2,3.371048418899931e-09,5.3075556544880686e-05,0.9998809045110039,6.601656140277098e-05,1.050567124097277,1.0,2.0,1.05
Karachi,2025,10,2,2.4015926627424297e-09,0.00010816061285236985,0.9998913856373782,4.5134817662960883e-07,1.0445971719856018,1.0,2.0,1.05
Karachi,2025,11,1,2.8355571106939997e-05,0.9999204871379489,4.863082310410814e-05,2.526467840077543e-06,0.6273044561395495,1.0,2.0,1.05
Karachi,2025,12,0,0.9987757218241331,0.0012237220393265227,1.0333195798867539e-07,4.52804582423633e-07,0.12566367995970545,1.0,2.0,1.05
