city,year,month,pred_risk,p_low,p_mod,p_high,p_extreme,heat_stress_index_proj,temp_delta_c,urban_delta_pct,pop_delta_mult
Islamabad,2024,1,0,0.9999999747699464,2.275935757968791e-08,1.301543712634356e-09,1.1691523934348033e-09,-0.8494207170270558,1.0,2.0,1.05
Islamabad,2024,2,0,0.9999999717100468,2.66378149132483e-08,7.249535070152688e-10,9.271846403108913e-10,-0.5236448385904383,1.0,2.0,1.05
Islamabad,2024,3,0,0.9999531479489376,4.683036055331448e-05,9.588508168147966e-09,1.210200102177628e-08,0.03951839930223736,1.0,2.0,1.05
Islamabad,2024,4,1,9.14587264531075e-06,0.9999906888079562,7.333375153257633e-08,9.198564711133162e-08,0.672483957523101,1.0,2.0,1.05
Islamabad,2024,5,3,3.404558370889724e-09,3.84810765296355e-07,0.015003444239274414,0.9849961675454019,1.2360958782116573,1.0,2.0,1.05
Islamabad,2024,6,3,1.271612566171213e-09,2.083728847917746e-09,3.022288967560132e-05,0.999969773754983,1.467665886458124,1.0,2.0,1.05
Islamabad,2024,7,3,1.3736555032905891e-08,3.453113309997136e-07,0.04784835657439637,0.9521512843777177,1.2259560163688237,1.0,2.0,1.05
Islamabad,2024,8,2,7.42926446734594e-08,1.5587138825425695e-05,0.907307600528606,0.0926767380399239,1.1319245684888237,1.0,2.0,1.05
Islamabad,2024,9,2,2.173872205422784e-06,0.04804941386098702,0.9455422404042451,0.0064061718625623935,1.031025253525597,1.0,2.0,1.05
Islamabad,2024,10,1,3.90811188733596e-06,0.9999841678805697,1.0962292466801209e-05,9.617150762858176e-07,0.5573998830018414,1.0,2.0,1.05
Islamabad,2024,11,0,0.9999120767525094,8.784773861654297e-05,2.0386521596490765e-08,5.512235247409714e-08,-0.05277965319134095,1.0,2.0,1.05
Islamabad,2024,12,0,0.9999999293740499,6.707462802501768e-08,1.871370021845803e-09,1.6799520691919784e-09,-0.5762172688618283,1.0,2.0,1.05
Islamabad,2025,1,0,0.999999971818002,2.4942028794979e-08,1.6539570503713295e-09,1.5860118718002757e-09,-0.8357449846300262,1.0,2.0,1.05
Islamabad,2025,2,0,0.9999999717290365,2.4624524643040237e-08,1.8558297934725076e-09,1.7906090150672716e-09,-0.5099691061934087,1.0,2.0,1.05
Islamabad,2025,3,0,0.999952923637002,4.7054373057989035e-05,9.570813335649266e-09,1.2419126552838042e-08,0.05319413169926696,1.0,2.0,1.05
Islamabad,2025,4,1,3.5646866922659606e-05,0.9999639876428217,1.487759928629464e-07,2.167142627220229e-07,0.6861596899201307,1.0,2.0,1.05
Islamabad,2025,5,3,4.277660286436218e-09,3.8399250489241895e-07,0.01391721860540891,0.9860823931244259,1.249771610608687,1.0,2.0,1.05
Islamabad,2025,6,3,1.262638595668481e-09,2.0690236446865308e-09,3.0278963923748367e-05,0.9999697177044141,1.4813416188551538,1.0,2.0,1.05
Islamabad,2025,7,3,1.2443998036787398e-08,3.128188628624356e-07,0.04631787280117166,0.9536818019359674,1.2396317487658535,1.0,2.0,1.05
Islamabad,2025,8,2,7.074378809056666e-08,1.4850694765747302e-05,0.91170234551541,0.08828273304603622,1.1456003008858533,1.0,2.0,1.05
Islamabad,2025,9,2,2.229424660652959e-06,0.023722688404951696,0.96970520308773,0.006569879082657509,1.0447009859226264,1.0,2.0,1.05
Islamabad,2025,10,1,5.929111802925907e-06,0.9999764746281568,1.5724640720311084e-05,1.8716193201024075e-06,0.571075615398871,1.0,2.0,1.05
Islamabad,2025,11,0,0.9998988480584196,0.00010106979412698382,1.872857778185103e-08,6.341887570573035e-08,-0.03910392079431138,1.0,2.0,1.05
Islamabad,2025,12,0,0.9999999291679954,6.707462801119665e-08,1.907016065149453e-09,1.850360716032745e-09,-0.5625415364647988,1.0,2.0,1.05
Islamabad,2026,1,0,0.9999999732827594,2.3548253499170457e-08,1.6539570527939752e-09,1.5150298288496192e-09,-0.8220692522329968,1.0,2.0,1.05
Islamabad,2026,2,0,0.999999971312871,2.462452463279236e-08,2.2719954125977037e-09,1.7906090143220818e-09,-0.49629337379637906,1.0,2.0,1.05
Islamabad,2026,3,0,0.9999504703071416,4.95056217043459e-05,1.1661174988660941e-08,1.2409979063681227e-08,0.06686986409629654,1.0,2.0,1.05
Islamabad,2026,4,1,3.5646865410193686e-05,0.9999639452152091,1.912051270176137e-07,2.16714253527023e-07,0.6998354223171602,1.0,2.0,1.05
Islamabad,2026,5,3,4.27766033989522e-09,3.7149525670577253e-07,0.01391721877933591,0.986082405447747,1.2634473430057165,1.0,2.0,1.05
Islamabad,2026,6,3,1.2626385956736054e-09,2.0649650658346298e-09,3.027896392387125e-05,0.9999697177084724,1.4950173512521832,1.0,2.0,1.05
Islamabad,2026,7,3,1.2443998036787398e-08,3.128188628624356e-07,0.04631787280117166,0.9536818019359674,1.2533074811628828,1.0,2.0,1.05
Islamabad,2026,8,2,7.263894273987793e-08,1.5248529883012692e-05,0.9005258647890776,0.09945881404209661,1.1592760332828829,1.0,2.0,1.05
Islamabad,2026,9,2,2.3077904084805397e-06,0.024556556554947952,0.9669349706416273,0.00850616501301617,1.0583767183196562,1.0,2.0,1.05
Islamabad,2026,10,1,7.928524367775019e-06,0.9999685013110503,2.1067398589464365e-05,2.5027659925905966e-06,0.5847513477959005,1.0,2.0,1.05
Islamabad,2026,11,0,0.9998988384368187,0.00010106979315443222,2.835163984685822e-08,6.341838699576569e-08,-0.025428188397281754,1.0,2.0,1.05
Islamabad,2026,12,0,0.9999999314387436,6.492438528872288e-08,1.8458819591944672e-09,1.7909891522303413e-09,-0.5488658040677692,1.0,2.0,1.05
Islamabad,2027,1,0,0.9999999679943815,2.8836631479786643e-08,1.6539570440472252e-09,1.5150298208375689e-09,-0.8083935198359672,1.0,2.0,1.05
Islamabad,2027,2,0,0.999999971312871,2.462452463279236e-08,2.2719954125977037e-09,1.7906090143220818e-09,-0.4826176413993495,1.0,2.0,1.05
Islamabad,2027,3,0,0.9999504703071416,4.95056217043459e-05,1.1661174988660941e-08,1.2409979063681227e-08,0.08054559649332614,1.0,2.0,1.05
Islamabad,2027,4,1,3.478117516208797e-05,0.9999648047687132,2.0260481399003619e-07,2.1145131066388406e-07,0.7135111547141898,1.0,2.0,1.05
Islamabad,2027,5,3,4.171896591583812e-09,3.713225338919904e-07,0.01437568770477197,0.9856239368007976,1.277123075402746,1.0,2.0,1.05
Islamabad,2027,6,3,2.1700887460826533e-09,2.4540241176775526e-09,3.807772024867536e-05,0.9999619176556386,1.5086930836492127,1.0,2.0,1.05
Islamabad,2027,7,3,1.2415444110996838e-08,3.1264406622789475e-07,0.04685077043876224,0.9531489045017273,1.2669832135599124,1.0,2.0,1.05
Islamabad,2027,8,2,3.4020250280491966e-08,6.87982069231522e-06,0.9534118224637712,0.04658126369528608,1.1729517656799124,1.0,2.0,1.05
Islamabad,2027,9,2,2.3077904084805397e-06,0.024556556554947952,0.9669349706416273,0.00850616501301617,1.0720524507166858,1.0,2.0,1.05
Islamabad,2027,10,1,7.928524367775019e-06,0.9999685013110503,2.1067398589464365e-05,2.5027659925905966e-06,0.5984270801929302,1.0,2.0,1.05
Islamabad,2027,11,0,0.9997056099947847,0.0002942125143945876,5.3241155454413535e-08,1.242496650505337e-07,-0.011752456000252182,1.0,2.0,1.05
