city,year,month,pred_risk,p_low,p_mod,p_high,p_extreme,heat_stress_index_proj,temp_delta_c,urban_delta_pct,pop_delta_mult
Islamabad,2024,1,0,0.999999970323673,2.5813281236955354e-08,3.662257121279984e-09,2.007886353244783e-10,-0.8494207170270549,1.0,2.0,1.05
Islamabad,2024,2,0,0.9999999689595659,2.783837834603769e-08,3.003104169862345e-09,1.989516314332723e-10,-0.5236448385904376,1.0,2.0,1.05
Islamabad,2024,3,0,0.999973053485328,2.6891025229354332e-05,4.887357848494862e-08,6.615864290242058e-09,0.03951839930223782,1.0,2.0,1.05
Islamabad,2024,4,1,1.479928846098847e-06,0.9999981764955873,2.762308510797352e-07,6.734471562079848e-08,0.6724839575231013,1.0,2.0,1.05
Islamabad,2024,5,3,5.289861320196818e-09,9.96789215844118e-07,0.030068730547580323,0.9699302673733425,1.2360958782116576,1.0,2.0,1.05
Islamabad,2024,6,3,1.561217382818882e-09,3.55604338116953e-09,3.773950506060442e-05,0.9999622553776787,1.467665886458124,1.0,2.0,1.05
Islamabad,2024,7,3,1.2384554678792924e-08,1.2278001744437334e-07,0.021805288516215996,0.9781945763192119,1.225956016368824,1.0,2.0,1.05
Islamabad,2024,8,2,8.349591402606192e-08,1.3190327726104007e-05,0.9218191739023012,0.07816755227405868,1.131924568488824,1.0,2.0,1.05
Islamabad,2024,9,2,1.0353912764287016e-06,0.014912462534417236,0.9844514950492222,0.0006350070250841722,1.031025253525597,1.0,2.0,1.05
Islamabad,2024,10,1,7.461929760049168e-07,0.9999930535728287,5.73866111747211e-06,4.615730777054224e-07,0.5573998830018417,1.0,2.0,1.05
Islamabad,2024,11,0,0.999872877637003,0.00012697782193946724,1.1470155524426305e-07,2.983950221327868e-08,-0.05277965319133974,1.0,2.0,1.05
Islamabad,2024,12,0,0.9999998353577009,1.5967501873764777e-07,4.743373093584818e-09,2.2390722106164305e-10,-0.5762172688618269,1.0,2.0,1.05
Karachi,2024,1,0,0.9999995952781829,4.0366410238404136e-07,8.896834487239932e-10,1.680310011744822e-10,-0.08931194545779814,1.0,2.0,1.05
Karachi,2024,2,0,0.9999902292388396,9.769152747776683e-06,6.345989016406068e-10,9.738136955030987e-10,0.25596533416081674,1.0,2.0,1.05
Karachi,2024,3,1,5.317768408252476e-05,0.9999449023078831,1.4716708543835526e-06,4.4833718002215896e-07,0.7023189101550837,1.0,2.0,1.05
Karachi,2024,4,2,6.935005070175865e-09,0.0005171388685426538,0.9994681390365254,1.4715159926898404e-05,1.0527849187054446,1.0,2.0,1.05
Karachi,2024,5,2,1.3971861264479724e-08,8.135744524549018e-06,0.9352852044054507,0.06470664587816341,1.1755912377353033,1.0,2.0,1.05
Karachi,2024,6,3,2.360223592864061e-08,1.365622019427228e-06,0.09654934601158985,0.9034492647641549,1.235574924171006,1.0,2.0,1.05
