city,year,month,tavg_mean,tavg_max,tmin_mean,tmin_min,tmax_mean,tmax_max,prcp_sum,prcp_mean,wspd_mean,wspd_max,pres_mean,tsun_mean,tsun_sum,n_days,pop_density,urban_pct,surface_temp_avg,month_sin,month_cos,tavg_clim,tavg_anom,tavg_z,tmax_z,surf_z,pop_z,urb_z,wspd_mean_filled,wind_z,heat_stress_index,risk_label,heat_lag_1,risk_lag_1,heat_lag_3,risk_lag_3,heat_lag_6,risk_lag_6,heat_roll_mean_3,heat_roll_std_3,heat_roll_mean_6,heat_roll_std_6
Islamabad,1974,3,19.2,19.2,8.0,8.0,25.0,25.0,0.0,0.0,,,,,0.0,31,87.4526346513076,26.005,18.30897,1.0,6.123233995736766e-17,18.127630164328522,1.072369835671477,-0.48875117288148584,-0.6517808897499192,-0.2747938640462503,-1.448812799944881,-1.7207257462467689,9.790076923076922,-0.05439746698180381,-0.7464877969545826,0,-0.08802505769961619,0.0,-0.0912999376026919,0.0,-1.7794059236928317,0.0,-0.017642583573606086,0.12475289688342825,-0.5427796781980464,0.8021652070882941
Islamabad,1974,4,22.4,23.8,14.0,12.0,29.5,30.0,0.0,0.0,,,,,0.0,30,87.4526346513076,26.005,22.870504,0.8660254037844387,-0.4999999999999998,23.712838018606682,-1.3128380186066835,-0.08422786269660697,-0.040001528628909766,0.3454735102942504,-1.448812799944881,-1.7207257462467689,9.790076923076922,-0.05439746698180381,-0.308104558393253,0,-0.7464877969545826,0.0,0.12639724458148982,0.0,-1.333573637738283,0.0,-0.236038536690903,0.4548769794204648,-0.3706266570750049,0.5570956197682917
Islamabad,1974,5,29.5,29.5,,,34.0,34.0,0.0,,,,,,0.0,31,87.4526346513076,26.005,26.38503,0.49999999999999994,-0.8660254037844387,28.952476743516804,0.5475232564831956,0.8133082317760935,0.5717778324920997,0.8233710364491407,-1.448812799944881,-1.7207257462467689,9.790076923076922,-0.05439746698180381,0.3061283166553636,1,-0.308104558393253,0.0,-0.08802505769961619,0.0,-0.09077075703634552,0.0,-0.3808724710158173,0.3352084002189869,-0.19971514385083322,0.30104992973414724
Islamabad,1975,1,10.3,10.3,,,17.0,17.0,0.0,,,,,,0.0,31,90.1063395080946,26.341,7.4065833,0.49999999999999994,0.8660254037844387,10.385781477970013,-0.08578147797001279,-1.6138316293331803,-1.739388642853936,-1.7572764614474297,-1.412546950620209,-1.6265980182927933,9.790076923076922,-0.05439746698180381,-1.7321353373487771,0,0.3061283166553636,1.0,-0.7464877969545826,0.0,-0.0912999376026919,0.0,-0.24948801289749065,0.5287505037465398,-0.13356529823554839,0.36630839893008693
Islamabad,1975,4,23.3,23.3,,,31.0,31.0,0.0,,,,,,0.0,30,90.1063395080946,26.341,21.795177,0.8660254037844387,-0.4999999999999998,23.712838018606682,-0.41283801860668135,0.029544318292890517,0.1639249250780934,0.19925290668865447,-1.412546950620209,-1.6265980182927933,9.790076923076922,-0.05439746698180381,-0.21031148269832767,0,-1.7321353373487771,0.0,-0.308104558393253,0.0,0.12639724458148982,0.0,-0.5780371930288889,1.0455990633314376,-0.40703786485989585,0.7450940285223085
Islamabad,1975,5,33.5,33.8,21.0,21.0,38.5,39.0,0.0,,,,,,0.0,31,90.1063395080946,26.341,26.582874,0.49999999999999994,-0.8660254037844387,28.952476743516804,4.5475232564831956,1.3189623695071921,1.183557193613109,0.8502734290234418,-1.412546950620209,-1.6265980182927933,9.790076923076922,-0.05439746698180381,0.7089984966981158,2,-0.21031148269832767,0.0,0.3061283166553636,1.0,-0.08802505769961619,0.0,-0.5454395011305803,1.059652194053466,-0.4631559860731988,0.7086717644975823
Islamabad,1975,6,32.36,40.0,23.5,21.0,39.0,44.0,0.0,,,,,,0.0,30,90.1063395080946,26.341,28.353369,1.2246467991473532e-16,-1.0,31.60981328850288,0.7501867114971184,1.174850940253829,1.2515326781821101,1.0910214503980462,-1.412546950620209,-1.6265980182927933,9.790076923076922,-0.05439746698180381,0.7078587735736614,2,0.7089984966981158,2.0,-1.7321353373487771,0.0,-0.7464877969545826,0.0,-0.4111494411163296,1.2328972029687855,-0.3303187270069101,0.8530447634985612
Islamabad,1975,7,28.584615384615386,32.6,23.714285714285715,20.0,33.84615384615385,39.0,0.0,,,,,,0.0,31,90.1063395080946,26.341,27.677643,-0.4999999999999997,-0.8660254037844388,29.937447809614955,-1.3528324249995691,0.6975912271799384,0.550862298778561,0.9991377130865169,-1.412546950620209,-1.6265980182927933,9.790076923076922,-0.05439746698180381,0.2929712139263111,1,0.7078587735736614,2.0,-0.21031148269832767,0.0,-0.308104558393253,0.0,0.4021819291911499,0.5304351604562147,-0.08792763191886947,0.9154804217157585
Islamabad,1975,8,28.70909090909091,33.2,24.545454545454547,19.0,33.45454545454545,38.0,0.0,,,,,,0.0,31,90.1063395080946,26.341,26.984943,-0.8660254037844385,-0.5000000000000004,28.80541973028283,-0.09632882119191777,0.7133266181792628,0.49762275841682563,0.904945888536779,-1.412546950620209,-1.6265980182927933,9.790076923076922,-0.05439746698180381,0.2691647345350596,1,0.2929712139263111,1.0,0.7089984966981158,2.0,0.3061283166553636,1.0,0.5699428280660296,0.2398651308997855,0.01225166346772453,0.9194468681978173
Islamabad,1975,9,27.5,29.2,21.0,17.0,32.72727272727273,34.0,0.0,,,,,,0.0,30,90.1063395080946,26.341,24.731846,-1.0,-1.8369701987210297e-16,27.357947541492155,0.14205245850784465,0.5604811629105441,0.39874932631646054,0.5985747071919817,-1.412546950620209,-1.6265980182927933,9.790076923076922,-0.05439746698180381,0.13240884559574304,0,0.2691647345350596,1.0,0.7078587735736614,2.0,-1.7321353373487771,0.0,0.4233315740116774,0.24669512071216715,0.006091066447673867,0.9172050848372455
Islamabad,1975,10,23.849999999999998,29.5,13.285714285714286,9.0,32.285714285714285,35.0,0.0,,,,,,0.0,31,90.1063395080946,26.341,20.428106,-0.8660254037844386,0.5000000000000001,22.634450532543134,1.2155494674568637,0.09907176223091622,0.3387190282555245,0.013361594751257587,-1.412546950620209,-1.6265980182927933,9.790076923076922,-0.05439746698180381,-0.15794597096049756,0,0.13240884559574304,0.0,0.2929712139263111,1.0,-0.21031148269832767,0.0,0.23151493135237133,0.08664986607463411,0.3168484302717606,0.3525422396550168
