city,year,month,tavg_mean,tavg_max,tmin_mean,tmin_min,tmax_mean,tmax_max,prcp_sum,prcp_mean,wspd_mean,wspd_max,pres_mean,tsun_mean,tsun_sum,n_days,pop_density,urban_pct,surface_temp_avg,month_sin,month_cos,tavg_clim,tavg_anom,tavg_z,tmax_z,surf_z,pop_z,urb_z,wspd_mean_filled,wind_z,heat_stress_index,risk_label,heat_lag_1,risk_lag_1,heat_lag_3,risk_lag_3,heat_lag_6,risk_lag_6,heat_roll_mean_3,heat_roll_std_3,heat_roll_mean_6,heat_roll_std_6
Islamabad,1974,3,19.2,19.2,8.0,8.0,25.0,25.0,0.0,0.0,,,,,0.0,31,87.4526346513076,26.005,18.30897,1.0,6.123233995736766e-17,18.127630164328522,1.072369835671477,-0.48875117288148634,-0.6517808897499192,-0.2747938640462509,-1.4488127999448808,-1.7207257462467698,9.790076923076922,-0.05439746698180208,-0.7464877969545829,0,-0.08802505769961622,0.0,-0.09129993760269162,0.0,-1.7794059236928328,0.0,-0.017642583573605902,0.12475289688342907,-0.5427796781980466,0.8021652070882948
Islamabad,1974,4,22.4,23.8,14.0,12.0,29.5,30.0,0.0,0.0,,,,,0.0,30,87.4526346513076,26.005,22.870504,0.8660254037844387,-0.49999999999999983,23.712838018606682,-1.3128380186066835,-0.08422786269660705,-0.040001528628909766,0.3454735102942511,-1.4488127999448808,-1.7207257462467698,9.790076923076922,-0.05439746698180208,-0.308104558393253,0,-0.7464877969545829,0.0,0.12639724458149013,0.0,-1.3335736377382839,0.0,-0.236038536690903,0.45487697942046534,-0.370626657075005,0.5570956197682921
Islamabad,1974,5,29.5,29.5,,,34.0,34.0,0.0,,,,,,0.0,31,87.4526346513076,26.005,26.38503,0.49999999999999994,-0.8660254037844387,28.952476743516804,0.5475232564831956,0.8133082317760942,0.5717778324920997,0.8233710364491426,-1.4488127999448808,-1.7207257462467698,9.790076923076922,-0.05439746698180208,0.30612831665536405,1,-0.308104558393253,0.0,-0.08802505769961622,0.0,-0.09077075703634546,0.0,-0.3808724710158174,0.33520840021898735,-0.1997151438508332,0.3010499297341475
Islamabad,1975,1,10.3,10.3,,,17.0,17.0,0.0,,,,,,0.0,31,90.1063395080946,26.341,7.4065833,0.49999999999999994,0.8660254037844387,10.385781477970013,-0.08578147797001279,-1.613831629333182,-1.739388642853936,-1.7572764614474334,-1.4125469506202089,-1.6265980182927944,9.790076923076922,-0.05439746698180208,-1.7321353373487791,0,0.30612831665536405,1.0,-0.7464877969545829,0.0,-0.09129993760269162,0.0,-0.24948801289749065,0.5287505037465403,-0.13356529823554827,0.3663083989300872
Islamabad,1975,4,23.3,23.3,,,31.0,31.0,0.0,,,,,,0.0,30,90.1063395080946,26.341,21.795177,0.8660254037844387,-0.49999999999999983,23.712838018606682,-0.41283801860668135,0.02954431829289055,0.1639249250780934,0.19925290668865492,-1.4125469506202089,-1.6265980182927944,9.790076923076922,-0.05439746698180208,-0.21031148269832778,0,-1.7321353373487791,0.0,-0.308104558393253,0.0,0.12639724458149013,0.0,-0.5780371930288893,1.045599063331439,-0.4070378648598962,0.7450940285223094
Islamabad,1975,5,33.5,33.8,21.0,21.0,38.5,39.0,0.0,,,,,,0.0,31,90.1063395080946,26.341,26.582874,0.49999999999999994,-0.8660254037844387,28.952476743516804,4.5475232564831956,1.3189623695071935,1.183557193613109,0.8502734290234436,-1.4125469506202089,-1.6265980182927944,9.790076923076922,-0.05439746698180208,0.7089984966981164,2,-0.21031148269832778,0.0,0.30612831665536405,1.0,-0.08802505769961622,0.0,-0.545439501130581,1.0596521940534673,-0.46315598607319913,0.7086717644975832
Islamabad,1975,6,32.36,40.0,23.5,21.0,39.0,44.0,0.0,,,,,,0.0,30,90.1063395080946,26.341,28.353369,1.2246467991473532e-16,-1.0,31.60981328850288,0.7501867114971184,1.17485094025383,1.2515326781821101,1.0910214503980484,-1.4125469506202089,-1.6265980182927944,9.790076923076922,-0.05439746698180208,0.7078587735736621,2,0.7089984966981164,2.0,-1.7321353373487791,0.0,-0.7464877969545829,0.0,-0.4111494411163301,1.2328972029687868,-0.33031872700691034,0.853044763498562
Islamabad,1975,7,28.584615384615386,32.6,23.714285714285715,20.0,33.84615384615385,39.0,0.0,,,,,,0.0,31,90.1063395080946,26.341,27.677643,-0.4999999999999998,-0.8660254037844388,29.937447809614955,-1.3528324249995691,0.697591227179939,0.550862298778561,0.999137713086519,-1.4125469506202089,-1.6265980182927944,9.790076923076922,-0.05439746698180208,0.2929712139263116,1,0.7078587735736621,2.0,-0.21031148269832778,0.0,-0.308104558393253,0.0,0.4021819291911502,0.5304351604562156,-0.08792763191886953,0.9154804217157595
Islamabad,1975,8,28.70909090909091,33.2,24.545454545454547,19.0,33.45454545454545,38.0,0.0,,,,,,0.0,31,90.1063395080946,26.341,26.984943,-0.8660254037844384,-0.5000000000000004,28.80541973028283,-0.09632882119191777,0.7133266181792635,0.49762275841682563,0.904945888536781,-1.4125469506202089,-1.6265980182927944,9.790076923076922,-0.05439746698180208,0.26916473453506,1,0.2929712139263116,1.0,0.7089984966981164,2.0,0.30612831665536405,1.0,0.56994282806603,0.2398651308997866,0.012251663467724558,0.9194468681978184
Islamabad,1975,9,27.5,29.2,21.0,17.0,32.72727272727273,34.0,0.0,,,,,,0.0,30,90.1063395080946,26.341,24.731846,-1.0,-1.8369701987210297e-16,27.357947541492155,0.14205245850784465,0.5604811629105446,0.39874932631646054,0.598574707191983,-1.4125469506202089,-1.6265980182927944,9.790076923076922,-0.05439746698180208,0.13240884559574329,0,0.26916473453506,1.0,0.7078587735736621,2.0,-1.7321353373487791,0.0,0.4233315740116779,0.2466951207121681,0.006091066447673886,0.9172050848372465
Islamabad,1975,10,23.849999999999998,29.5,13.285714285714286,9.0,32.285714285714285,35.0,0.0,,,,,,0.0,31,90.1063395080946,26.341,20.428106,-0.8660254037844386,0.5000000000000001,22.634450532543134,1.2155494674568637,0.09907176223091634,0.3387190282555245,0.013361594751257616,-1.4125469506202089,-1.6265980182927944,9.790076923076922,-0.05439746698180208,-0.15794597096049773,0,0.13240884559574329,0.0,0.2929712139263116,1.0,-0.21031148269832778,0.0,0.23151493135237164,0.08664986607463591,0.31684843027176096,0.3525422396550171
Islamabad,1975,11,15.092857142857143,18.8,4.818181818181818,2.0,25.142857142857142,29.0,0.0,,,,,,0.0,30,90.1063395080946,26.341,13.037332,-0.5000000000000004,0.8660254037844384,16.348084201778377,-1.2552270589212338,-1.00794961787324,-0.6323593227302047,-0.9916196206302451,-1.4125469506202089,-1.6265980182927944,9.790076923076922,-0.05439746698180208,-1.0428252106051044,0,-0.15794597096049773,0.0,0.26916473453506,1.0,0.7089984966981164,2.0,0.08120920305676853,0.218109929242843,0.32557601556139926,0.33719587151500463
