time,city,ndvi
2012-10-01,Karachi,0.117
2012-11-01,Karachi,0.1139
2012-12-01,Karachi,0.12430000000000001
2013-01-01,Karachi,0.115
2013-02-01,Karachi,0.1169
2013-03-01,Karachi,0.1081
2013-04-01,Karachi,0.125
2013-05-01,Karachi,0.12050000000000001
2013-06-01,Karachi,0.1126
2013-07-01,Karachi,0.10500000000000001
2013-08-01,Karachi,0.1232
2013-09-01,Karachi,0.12050000000000001
2013-10-01,Karachi,0.1124
2013-11-01,Karachi,0.1237
2013-12-01,Karachi,0.0994
2014-01-01,Karachi,0.1102
2014-02-01,Karachi,0.10650000000000001
2014-03-01,Karachi,0.1189
2014-04-01,Karachi,0.1046
2014-05-01,Karachi,0.10400000000000001
2014-06-01,Karachi,0.1097
2014-07-01,Karachi,0.0941
2014-08-01,Karachi,0.1218
2014-09-01,Karachi,0.1087
2014-10-01,Karachi,0.1082
2014-11-01,Karachi,0.10700000000000001
2014-12-01,Karachi,0.1039
2015-01-01,Karachi,0.10690000000000001
2015-02-01,Karachi,0.10400000000000001
2015-03-01,Karachi,0.10500000000000001
2015-04-01,Karachi,0.0988
2015-05-01,Karachi,0.11080000000000001
2015-06-01,Karachi,0.1203
2015-07-01,Karachi,0.0965
2015-08-01,Karachi,0.10590000000000001
2015-09-01,Karachi,0.12140000000000001
2015-10-01,Karachi,0.11180000000000001
2015-11-01,Karachi,0.1114
2015-12-01,Karachi,0.114
2016-01-01,Karachi,0.1124
2016-02-01,Karachi,0.1027
2016-03-01,Karachi,0.10070000000000001
2016-04-01,Karachi,0.1077
2016-05-01,Karachi,0.1053
2016-06-01,Karachi,0.1086
2016-07-01,Karachi,0.0979
2016-08-01,Karachi,0.1212
2016-09-01,Karachi,0.1187
2016-10-01,Karachi,0.11
2016-11-01,Karachi,0.108
2016-12-01,Karachi,0.1165
2017-01-01,Karachi,0.1056
2017-02-01,Karachi,0.11080000000000001
2017-03-01,Karachi,0.10010000000000001
2017-04-01,Karachi,0.1105
2017-05-01,Karachi,0.10350000000000001
2017-06-01,Karachi,0.108
2017-07-01,Karachi,0.1197
2017-08-01,Karachi,0.1361
2017-09-01,Karachi,0.1338
2017-10-01,Karachi,0.10300000000000001
2017-11-01,Karachi,0.117
2017-12-01,Karachi,0.1081
2018-01-01,Karachi,0.109
2018-02-01,Karachi,0.1071
2018-03-01,Karachi,0.1056
2018-04-01,Karachi,0.1
2018-05-01,Karachi,0.1092
2018-06-01,Karachi,0.09730000000000001
2018-07-01,Karachi,0.098
2018-08-01,Karachi,0.1022
2018-09-01,Karachi,0.10250000000000001
2018-10-01,Karachi,0.1072
2018-11-01,Karachi,0.1121
2018-12-01,Karachi,0.10890000000000001
2019-01-01,Karachi,0.095
2019-02-01,Karachi,0.099
2019-03-01,Karachi,0.0954
2019-04-01,Karachi,0.09910000000000001
2019-05-01,Karachi,0.1068
2019-06-01,Karachi,0.1217
2019-07-01,Karachi,0.094
2019-08-01,Karachi,0.1777
2019-09-01,Karachi,0.1255
2019-10-01,Karachi,0.1279
2019-11-01,Karachi,0.1129
2019-12-01,Karachi,0.1164
2020-01-01,Karachi,0.1027
2020-02-01,Karachi,0.10250000000000001
2020-03-01,Karachi,0.1038
2020-04-01,Karachi,0.1119
2020-05-01,Karachi,0.1028
2020-06-01,Karachi,0.10690000000000001
2020-07-01,Karachi,0.10650000000000001
2020-08-01,Karachi,0.1487
2020-09-01,Karachi,0.1394
2020-10-01,Karachi,0.12090000000000001
2020-11-01,Karachi,0.1109
2020-12-01,Karachi,0.1207
2021-01-01,Karachi,0.11220000000000001
2021-02-01,Karachi,0.1078
2021-03-01,Karachi,0.1056
2021-04-01,Karachi,0.113
2021-05-01,Karachi,0.11560000000000001
2021-06-01,Karachi,0.1221
2021-07-01,Karachi,0.1159
2021-08-01,Karachi,0.1447
2021-09-01,Karachi,0.12810000000000002
2021-10-01,Karachi,0.15
2021-11-01,Karachi,0.11470000000000001
2021-12-01,Karachi,0.10210000000000001
2022-01-01,Karachi,0.1037
2022-02-01,Karachi,0.11180000000000001
2022-03-01,Karachi,0.1105
2022-04-01,Karachi,0.11380000000000001
2022-05-01,Karachi,0.12010000000000001
2022-06-01,Karachi,0.1264
2022-07-01,Karachi,0.1245
2022-08-01,Karachi,0.1532
2022-09-01,Karachi,0.152
2022-10-01,Karachi,0.1264
2022-11-01,Karachi,0.12430000000000001
2022-12-01,Karachi,0.1288
