,count,mean,std,min,25%,50%,75%,max
Sample_Size,52.0,8333.134615384615,4588.966157348307,1559.0,5333.0,7181.0,10292.5,26444.0
Pct_HeartDisease,52.0,5.423288624537746,1.197940769178768,2.5193798449612403,4.534508295400093,5.408193652684421,6.2289389315878605,8.615212109886002
Pct_HeartAttack,52.0,5.459829428421131,1.151801072233006,2.8585271317829455,4.81269782048829,5.422314299622343,6.15899489524082,8.642544365061074
Pct_Stroke,52.0,4.3587116091524525,0.904976395629081,2.5685676969960816,3.671329517375889,4.382537987646785,4.897307808175261,6.350298028427328
Pct_Asthma,52.0,14.780431391721093,1.9788805136248702,10.070558050032071,13.388773058220163,14.894178996082633,15.767631242408326,21.04919460165433
Pct_Diabetes,52.0,14.241711930754134,2.7928655848713015,9.30206079927132,12.218382115974538,14.17678374815663,16.276737447472303,20.41945148651763
Pct_COPD,52.0,7.741595129957712,2.00434441713113,3.003875968992248,6.158811046535686,7.713918719641358,8.978146311446263,13.643696704309749
Pct_Depression,52.0,20.15557069615091,3.53092772131498,8.236434108527131,18.258985240239156,19.843519469439926,22.47865372701819,28.462779442267806
Pct_KidneyDisease,52.0,4.733859562102426,0.8978535775120036,2.4709302325581395,4.094076626610628,4.569250880479192,5.489932165573676,6.614427287393408
Pct_Arthritis,52.0,33.015600895041544,4.691026386695183,24.50288646568313,28.854335246730457,33.264442297191366,36.27331733976315,46.738879926250284
Pct_HighBP,52.0,58.22296216867607,4.934296549663972,47.70747363594681,54.49289821035251,58.46738720623351,62.005792923765796,68.58704315154274
Pct_HighChol,52.0,41.79415790109578,3.146584190966334,35.597345132743364,39.4666565033682,41.55653391093864,43.93232358971726,49.086699253923335
Pct_Smoker,52.0,84.1186353350469,2.8288206427787093,78.05137289636846,82.49352667683425,84.25367653245091,85.32707448156057,91.61821705426357
Pct_HeavyDrinker,52.0,87.18258200017125,1.9945025010364381,83.85433112303969,85.53906089617755,86.75345145062678,88.52579998687159,93.3391380060949
Pct_PhysicalActivity,52.0,74.23018159635404,5.5703632144810316,48.12799303439269,72.02155506126459,74.75178568680785,77.04344198494445,84.53383224197069
Pct_Obesity,52.0,28.426252597199657,3.2185150790225734,23.342036553524803,25.91431808124842,27.907848415530225,30.319727456968323,38.13532896788276
Pct_AnyHealthcare,0.0,,,,,,,
Avg_BMI,52.0,28.51855534549994,0.6338352750640872,27.084072022160665,28.117388223649268,28.565226108789975,28.96374688057488,29.638869352869353
Avg_Age,52.0,55.311417868240525,2.73499220401971,50.68100270336692,53.32346102100693,55.14819349255873,57.23835622796456,63.19655172413793
Avg_TotalUnhealthyDays,52.0,27.688637448801327,0.35534526080032824,26.61053944496414,27.52122184908333,27.757183768802687,27.85016404371165,28.94188071397475
Avg_SleepHours,0.0,,,,,,,
Avg_MultiMorbidity_Index,52.0,1.0990896295500592,0.14306716417983312,0.7974806201550387,0.9889316727228815,1.0994687746427405,1.1873698270412185,1.5669509103480064
Avg_CardioRisk_Score,52.0,1.9339252910377058,0.04018450884624207,1.8570898292501856,1.910218815748469,1.9305869620839644,1.961560203031374,2.070526774053113
Avg_LifestyleRisk_Score,52.0,1.970710357388641,0.07046171443763184,1.8746492048643593,1.9392067940913273,1.9582063772391174,1.9909034991208996,2.365041358293426
Avg_HealthcareAccess_Score,0.0,,,,,,,
Avg_HealthyDiet_Score,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI_Variance,52.0,42.662198576284716,4.3970912282219095,33.88816270977649,38.89676171333452,42.278038927244864,45.51227106325142,53.1535790537934
Diabetes_HighBP_Correlation,52.0,-0.26356852574327555,0.022206296658064867,-0.345049245610494,-0.2732253078948521,-0.25722657674664284,-0.25075053027743266,-0.22125429666200333
State_Avg_AQI,48.0,40.40724980573822,5.847180789490465,19.75,38.04166666666667,41.973684210526315,43.919913419913414,48.1
State_Max_AQI,48.0,149.37057677956275,41.09858504104775,86.625,114.02639751552795,139.375,172.21875,277.6666666666667
State_Unhealthy_Days_Pct,48.0,1.6883554689309943,1.2324503737202455,0.149439601494396,0.8123250633247111,1.5636837256498475,2.105899666572255,4.847201845595103
State_AQI_Severity,48.0,1.311828462294794,0.09690264153302425,1.0577711104970196,1.2519176954151732,1.3173803306599465,1.3735325287673836,1.4909092675587743
Asthma_AQI_Interaction,48.0,5.979682533649803,1.0059350184225446,3.0241628959276015,5.411803408054589,6.179299531903289,6.700235956498988,7.89004509191814
COPD_AQI_Interaction,48.0,3.2550487200853104,0.950705936920228,1.3385257065032348,2.433289049281334,3.2379644196210378,4.066962169452953,5.384012622546846
Cardio_Environmental_Risk,48.0,3.007647868639688,0.7684562205390492,1.164445701357466,2.390857477970525,3.014501705038806,3.6608875017626095,4.389614855570839
Pct_Diabetes_norm,52.0,0.44431749053355385,0.25121592497870127,0.0,0.26232066486811007,0.4384772547782876,0.6273663348126717,0.9999999999910051
Pct_HighBP_norm,52.0,0.5036257344685376,0.2363217568233235,0.0,0.32497914141883283,0.5153321557802271,0.68479952506063,0.9999999999952107
State_Unhealthy_Days_Pct_norm,48.0,0.3275848771053406,0.26234839262920995,0.0,0.1411066434127512,0.3010463387970107,0.4164663862018708,0.9999999999787132
SocioEnvironmental_Vulnerability,52.0,0.4311858197027565,0.11229275791173027,0.23954255537066485,0.36441471934027975,0.3972209275501714,0.47398082924150875,0.7825075116896306
