,Sample_Size,Pct_HeartDisease,Pct_HeartAttack,Pct_Stroke,Pct_Asthma,Pct_Diabetes,Pct_COPD,Pct_Depression,Pct_KidneyDisease,Pct_Arthritis,Pct_HighBP,Pct_HighChol,Pct_Smoker,Pct_HeavyDrinker,Pct_PhysicalActivity,Pct_Obesity,Pct_AnyHealthcare,Avg_BMI,Avg_Age,Avg_TotalUnhealthyDays,Avg_SleepHours,Avg_MultiMorbidity_Index,Avg_CardioRisk_Score,Avg_LifestyleRisk_Score,Avg_HealthcareAccess_Score,Avg_HealthyDiet_Score,BMI_Variance,Diabetes_HighBP_Correlation,State_Avg_AQI,State_Max_AQI,State_Unhealthy_Days_Pct,State_AQI_Severity,Asthma_AQI_Interaction,COPD_AQI_Interaction,Cardio_Environmental_Risk,Pct_Diabetes_norm,Pct_HighBP_norm,State_Unhealthy_Days_Pct_norm,SocioEnvironmental_Vulnerability
Sample_Size,1.0,-0.016475323528331733,-0.07698598743104687,-0.2535915691124848,0.06897345643910603,-0.2946473699642602,-0.0956829191028801,0.09812954202198086,0.020107854366070245,-0.027217629508428563,0.25012905659204837,-0.11872985403638399,0.09207858822506892,-0.21469702613864725,0.27388395988787073,0.011883061625555105,,-0.12231549839952444,0.04335557481250956,-0.2738617108352429,,-0.06835744075155846,0.10363902297950621,-0.24032527354472555,,,-0.1016019685286891,0.32265560527837744,-0.05947204438625579,0.27278732732011585,0.1342816836404503,-0.03811430851110333,-0.05929724594402205,-0.2678538528074501,-0.20900865726022783,-0.29464736996426016,0.25012905659204865,0.13428168364045032,-0.01950582332020643
Pct_HeartDisease,-0.016475323528331733,1.0,0.8964940005525542,0.6784317407394512,0.08309836407840022,0.6340598436304342,0.8551920003682737,0.3912136272660124,0.764566882369315,0.8436773604297623,-0.7524394722343342,0.6867718382387896,-0.5543722443664737,0.14020840181915864,-0.49872829180799505,-0.5090761980928,,0.5887724297671993,0.5078055175320166,0.4160284956606853,,0.875082908166158,-0.3187276901287195,0.2113948123521521,,,0.5540438388459632,-0.08904645153722378,0.2827326788665854,-0.15894228577660793,-0.2165622530824738,0.05331083675924302,0.2208849579126411,0.8060995051730039,0.8087776530890642,0.6340598436304345,-0.7524394722343346,-0.2165622530824738,-0.23736331686259374
Pct_HeartAttack,-0.07698598743104687,0.8964940005525542,1.0,0.6962076963032023,0.09855039898181685,0.5638446137108584,0.885700251719549,0.4616109132847776,0.7469116873023738,0.8590023620190191,-0.6649934066030445,0.5468881081243646,-0.588812559572944,0.2148328428106056,-0.3964385643039172,-0.44963090763501995,,0.5411978123427704,0.5160537846221234,0.3771981388358135,,0.8898305995468394,-0.4518595199294079,0.1378260977886108,,,0.4970686192942637,-0.06541181497212561,0.04654957172771705,-0.24494007026545925,-0.27037655441905206,-0.13749662658179754,0.07745289122982535,0.7185205455566536,0.6529869087877196,0.5638446137108578,-0.6649934066030446,-0.2703765544190521,-0.2687560465769829
Pct_Stroke,-0.2535915691124848,0.6784317407394512,0.6962076963032023,1.0,-0.16177482049486672,0.7049754407822849,0.7162234941147099,0.24990884184976075,0.6075921165692088,0.7155364135930887,-0.8011408808148545,0.5980493842174887,-0.5209097150446831,0.07469633327752324,-0.30481551628783565,-0.36473446536515075,,0.5064227710545068,0.45984275347423914,0.27502151583416146,,0.7260879250444792,-0.4483414560270502,0.052986932082268505,,,0.5758932415298585,-0.3139105833458568,0.19550678493356885,-0.3176927543574723,-0.3048790763038983,0.006762012632025488,0.15261715696312153,0.7618538868828032,0.7773997364109356,0.704975440782285,-0.801140880814855,-0.3048790763038985,-0.2757564111390502
Pct_Asthma,0.06897345643910603,0.08309836407840022,0.09855039898181685,-0.16177482049486672,1.0,-0.15517555319266987,0.2286685878909168,0.5848833588129521,0.10612096084720188,0.2028925646345284,0.03510547706871146,0.04485385409430027,0.16259945354166977,0.173079328273043,-0.06925155448642502,0.18307105614695268,,-0.10225029982767661,-0.07461098229694939,-0.1016052187717464,,0.36222700970925703,0.14714409870317322,0.16901776588369108,,,0.0252287041771116,0.2228930939014829,-0.15251843389611558,-0.04078554392371576,-0.15353500068008097,-0.25330386844180036,0.5082929728270512,0.06509040633318175,-0.137627661406583,-0.15517555319266982,0.03510547706871148,-0.1535350006800809,-0.22272137570521658
Pct_Diabetes,-0.2946473699642602,0.6340598436304342,0.5638446137108584,0.7049754407822849,-0.15517555319266987,1.0,0.5154624637010606,-0.02480058503352079,0.5801882263684934,0.4708035947718162,-0.8446807941778012,0.7008954037025065,-0.394057707095261,0.23739277123904856,-0.7632275504681331,-0.5762984121905715,,0.6744347004310774,0.23004622558795745,0.6586944725590116,,0.5737126963571266,-0.0627083307496288,0.512365700991964,,,0.619019394009328,-0.664344792598648,0.40919557146772745,-0.18641102691104994,-0.19988715178828556,0.21304583066876534,0.25476329119347313,0.8232118424763433,0.9006314444771195,1.0000000000000002,-0.8446807941778015,-0.19988715178828564,0.10224225842413219
Pct_COPD,-0.0956829191028801,0.8551920003682737,0.885700251719549,0.7162234941147099,0.2286685878909168,0.5154624637010606,1.0,0.5705774759323401,0.7271843720247758,0.8863462834301671,-0.6977511735018532,0.5799683314939692,-0.5946438761577127,0.18170119041926416,-0.35157110699113836,-0.45263187567777646,,0.5800802196284189,0.40401969273912386,0.26353949070622434,,0.9375653169593297,-0.49775536803653964,0.09063664906688253,,,0.6318101348830784,-0.03610017878326602,0.23597166490764376,-0.2885876683570535,-0.30737784107652755,0.006927051402848041,0.31904580152968853,0.9030938005935321,0.7545840016171983,0.5154624637010604,-0.6977511735018532,-0.30737784107652755,-0.3881830909724502
Pct_Depression,0.09812954202198086,0.3912136272660124,0.4616109132847776,0.24990884184976075,0.5848833588129521,-0.02480058503352079,0.5705774759323401,1.0,0.33734623926626006,0.498977303309062,-0.12056178383374888,-0.03501673339684628,-0.3531063093050367,0.20604095598536842,0.08449153015380399,-0.12506338034338238,,0.25247137745756526,-0.035860586087326805,-0.3269448675434419,,0.6732745875915354,-0.49806826046114683,-0.1502338872650749,,,0.39740609908447866,0.21644512931709625,0.030198740167608987,-0.1626765671688703,-0.17841859255381476,-0.02631343691501522,0.4413222472500662,0.3669209296559934,0.22233042928679433,-0.024800585033520825,-0.12056178383374867,-0.1784185925538147,-0.3111857307479498
Pct_KidneyDisease,0.020107854366070245,0.764566882369315,0.7469116873023738,0.6075921165692088,0.10612096084720188,0.5801882263684934,0.7271843720247758,0.33734623926626006,1.0,0.6605515068871617,-0.5631194931921851,0.6443716093756501,-0.5275516366184444,0.02554359592089491,-0.2987036356607586,-0.29272931199653784,,0.37657477454456106,0.3789012650574958,0.24624516901608018,,0.75492372262817,-0.15291045714541857,0.03157538133210007,,,0.44735436079654356,-0.23727870268481419,0.35809275715458,-0.0601647484130399,-0.10872319415957218,0.1602903813106946,0.37468971261818396,0.7400769458303684,0.7390239254825223,0.5801882263684934,-0.5631194931921852,-0.10872319415957223,-0.05481811556746527
Pct_Arthritis,-0.027217629508428563,0.8436773604297623,0.8590023620190191,0.7155364135930887,0.2028925646345284,0.4708035947718162,0.8863462834301671,0.498977303309062,0.6605515068871617,1.0,-0.7367975843861584,0.6317166663686279,-0.3740347728291999,0.14898060681799669,-0.23627299274632127,-0.3992295018565614,,0.47518060134592505,0.6925958925134678,0.28216168471713887,,0.9216729248458203,-0.3387206969347593,0.07879332744152932,,,0.45399970363231507,0.11994482117141123,0.09448905313996839,-0.19847572258515303,-0.333453094384149,-0.15513588144281615,0.19754372973345413,0.7360350183237203,0.6469206228674351,0.47080359477181616,-0.7367975843861585,-0.333453094384149,-0.4741643362575323
