city,avg_expected_risk,max_extreme_prob,extreme_months
Lahore,2.2855681199945344,0.9980159556999637,5
Karachi,2.245655534438351,0.9919744704623491,4
Multan,2.228532580675416,0.9982169772083965,4
Rawalpindi,2.226204403177768,0.9966746893708234,5
Islamabad,2.209075624882941,0.9950946839421024,5
Peshawar,2.181250618858415,0.9977863207988242,6
Quetta,1.9634212210707054,0.9644273353246393,5
