feature,saliency
pres_mean,0.10738713152495473
pop_z,0.059096152000581686
urban_pct,0.055768571884525935
urb_z,0.05494813301302644
heat_stress_index,0.046674339394820366
tmax_z,0.040969053260710556
month_sin,0.04093824803587879
pop_density,0.03933398250626166
wspd_mean_filled,0.0371860987261722
heat_roll_mean_3,0.03469365280166811
heat_lag_1,0.03341004674733892
tavg_z,0.03230240180907462
tmax_mean,0.03142928449731124
tavg_anom,0.03142654557942379
wspd_mean,0.02578953861707618
tavg_clim,0.02432688382955698
wspd_max,0.02171848273952963
tavg_mean,0.021626861954507557
heat_roll_mean_6,0.021125582065659496
n_days,0.02078187369141984
tmax_max,0.01964803963055012
wind_z,0.019035608058998944
wm_prcp_scaled,0.01817555900527398
heat_lag_3,0.017302262396947574
heat_roll_std_6,0.016699713975311774
surface_temp_avg,0.016390568331668253
prcp_sum,0.016372293595842986
wm_et0_scaled,0.01621699357322353
month_cos,0.016121684780970275
hum_rh_max,0.015239660737485538
surf_z,0.01506735607680039
heat_roll_std_3,0.014206938656718142
wm_rh_avg,0.014002535748578276
hum_rh_min,0.01327698970371895
wm_et0,0.012575492685140386
tmin_mean,0.012259000226071006
hum_et0,0.011513701153670246
heat_lag_6,0.011477277829096867
ndvi_monthly,0.011047700276741615
tavg_max,0.01053347351097385
wm_prcp,0.010361735396057005
wm_rh_avg_scaled,0.01029128946273433
hum_rh_avg,0.010262993160589987
tmin_min,0.01009192857665089
hum_prcp,0.00702210766101173
prcp_mean,0.004090137628891207
