,0
tavg_mean,0.25237637101669896
tmax_mean,0.21753702704898553
surface_temp_avg,0.10859541495015237
heat_lag_1,0.08527391760869482
month_cos,0.060120776643212706
pop_density,0.05166278631198258
urban_pct,0.050989973205726846
heat_lag_6,0.0336168295525389
heat_roll_mean_3,0.032731262361463086
heat_roll_std_3,0.02773247170496953
heat_roll_std_6,0.018265038731450963
heat_roll_mean_6,0.016698604517736505
month_sin,0.016259604005494872
tavg_anom,0.014182647584122975
heat_lag_3,0.0139572747567695
