model,accuracy,macro_f1,macro_precision,macro_recall,extreme_recall
logreg,0.9228395061728395,0.9074819297047931,0.9067283458340485,0.9103680475186655,0.9577464788732394
hgb,0.9197530864197531,0.9035049313574023,0.9094749351298406,0.902310029532031,0.8169014084507042
rf,0.8611111111111112,0.8313928139725026,0.860050230566535,0.833616111994548,0.6056338028169014
dtree,0.8148148148148148,0.781779258060093,0.8168319477252036,0.7800653537046511,0.6338028169014085
baseline_majority,0.39197530864197533,0.14079822616407983,0.09799382716049383,0.25,0.0
