feature,saliency
pres_mean,0.09007531525152415
pop_density,0.062338095444899336
urban_pct,0.05463042046859679
heat_lag_1,0.04882619062415984
heat_stress_index,0.04445074251306202
wind_z,0.0336375704661072
tmax_mean,0.02882206826074886
wspd_mean,0.02788165585714796
pop_z,0.02761973977571557
month_cos,0.026231340792497643
tavg_anom,0.025777468797166338
surf_z,0.02534651370183659
tmax_z,0.024309334484671773
urb_z,0.02395002706813426
tavg_z,0.023642689110296457
heat_lag_3,0.021640158857893846
wspd_mean_filled,0.02105224928875201
month_sin,0.02026198484636994
tmax_max,0.018974336535341828
heat_roll_std_6,0.018729520954101193
wspd_max,0.01745493571285294
tavg_mean,0.01740640739680302
heat_roll_mean_6,0.017092051776314555
heat_roll_mean_3,0.01659485637417689
wm_et0,0.016327027367194172
wm_et0_scaled,0.015527986321854688
heat_lag_6,0.015203711474955323
wm_rh_avg_scaled,0.014622337181075865
hum_rh_max,0.014219874433177685
n_days,0.013381876926190457
wm_rh_avg,0.013316660757489532
ndvi_monthly,0.01306776877356927
tavg_clim,0.012996606498594708
tmin_mean,0.012728623291741499
prcp_sum,0.012525576690913212
wm_prcp,0.012494378485660321
surface_temp_avg,0.012346650424756501
heat_roll_std_3,0.011544038409646223
tmin_min,0.010920690380127324
tavg_max,0.010875311457676444
hum_et0,0.010728387607012684
hum_rh_avg,0.010676890370334207
hum_prcp,0.009068955414690952
hum_rh_min,0.009051177786429401
wm_prcp_scaled,0.00868100145085138
prcp_mean,0.0028522673406099017
tsun_mean,0.0
tsun_sum,0.0
